Date,Area code,Indicator name,Area name,cases
18/05/2020,E09000033,Number of COVID-19 Daily lab-confirmed cases,Westminster,1
18/05/2020,E09000028,Number of COVID-19 Daily lab-confirmed cases,Southwark,1
18/05/2020,E09000016,Number of COVID-19 Daily lab-confirmed cases,Havering,1
18/05/2020,E09000015,Number of COVID-19 Daily lab-confirmed cases,Harrow,1
18/05/2020,E09000012,Number of COVID-19 Daily lab-confirmed cases,Hackney,1
18/05/2020,E09000011,Number of COVID-19 Daily lab-confirmed cases,Greenwich,1
18/05/2020,E09000008,Number of COVID-19 Daily lab-confirmed cases,Croydon,1
18/05/2020,E09000003,Number of COVID-19 Daily lab-confirmed cases,Barnet,1
18/05/2020,E09000002,Number of COVID-19 Daily lab-confirmed cases,Barking and Dagenham,1
18/05/2020,E08000033,Number of COVID-19 Daily lab-confirmed cases,Calderdale,1
18/05/2020,E08000019,Number of COVID-19 Daily lab-confirmed cases,Sheffield,1
18/05/2020,E08000016,Number of COVID-19 Daily lab-confirmed cases,Barnsley,1
18/05/2020,E06000059,Number of COVID-19 Daily lab-confirmed cases,Dorset,1
18/05/2020,E06000058,Number of COVID-19 Daily lab-confirmed cases,"Bournemouth, Christchurch and Poole",1
18/05/2020,E06000044,Number of COVID-19 Daily lab-confirmed cases,Portsmouth,1
18/05/2020,E06000031,Number of COVID-19 Daily lab-confirmed cases,Peterborough,1
18/05/2020,E06000025,Number of COVID-19 Daily lab-confirmed cases,South Gloucestershire,1
17/05/2020,E09000033,Number of COVID-19 Daily lab-confirmed cases,Westminster,1
17/05/2020,E09000031,Number of COVID-19 Daily lab-confirmed cases,Waltham Forest,1
17/05/2020,E09000024,Number of COVID-19 Daily lab-confirmed cases,Merton,1
17/05/2020,E09000023,Number of COVID-19 Daily lab-confirmed cases,Lewisham,1
17/05/2020,E09000021,Number of COVID-19 Daily lab-confirmed cases,Kingston upon Thames,1
17/05/2020,E09000020,Number of COVID-19 Daily lab-confirmed cases,Kensington and Chelsea,1
17/05/2020,E09000017,Number of COVID-19 Daily lab-confirmed cases,Hillingdon,1
17/05/2020,E09000015,Number of COVID-19 Daily lab-confirmed cases,Harrow,1
17/05/2020,E09000011,Number of COVID-19 Daily lab-confirmed cases,Greenwich,1
17/05/2020,E09000009,Number of COVID-19 Daily lab-confirmed cases,Ealing,1
17/05/2020,E09000006,Number of COVID-19 Daily lab-confirmed cases,Bromley,1
17/05/2020,E09000002,Number of COVID-19 Daily lab-confirmed cases,Barking and Dagenham,1
17/05/2020,E08000033,Number of COVID-19 Daily lab-confirmed cases,Calderdale,1
17/05/2020,E08000029,Number of COVID-19 Daily lab-confirmed cases,Solihull,1
17/05/2020,E08000026,Number of COVID-19 Daily lab-confirmed cases,Coventry,1
17/05/2020,E08000022,Number of COVID-19 Daily lab-confirmed cases,North Tyneside,1
17/05/2020,E08000014,Number of COVID-19 Daily lab-confirmed cases,Sefton,1
17/05/2020,E06000059,Number of COVID-19 Daily lab-confirmed cases,Dorset,1
17/05/2020,E06000058,Number of COVID-19 Daily lab-confirmed cases,"Bournemouth, Christchurch and Poole",1
17/05/2020,E06000055,Number of COVID-19 Daily lab-confirmed cases,Bedford,1
17/05/2020,E06000054,Number of COVID-19 Daily lab-confirmed cases,Wiltshire,1
17/05/2020,E06000052,Number of COVID-19 Daily lab-confirmed cases,Cornwall and Isles of Scilly,1
17/05/2020,E06000043,Number of COVID-19 Daily lab-confirmed cases,Brighton and Hove,1
17/05/2020,E06000040,Number of COVID-19 Daily lab-confirmed cases,Windsor and Maidenhead,1
17/05/2020,E06000038,Number of COVID-19 Daily lab-confirmed cases,Reading,1
17/05/2020,E06000034,Number of COVID-19 Daily lab-confirmed cases,Thurrock,1
17/05/2020,E06000017,Number of COVID-19 Daily lab-confirmed cases,Rutland,1
17/05/2020,E06000014,Number of COVID-19 Daily lab-confirmed cases,York,1
17/05/2020,E06000005,Number of COVID-19 Daily lab-confirmed cases,Darlington,1
16/05/2020,E09000027,Number of COVID-19 Daily lab-confirmed cases,Richmond upon Thames,1
16/05/2020,E09000024,Number of COVID-19 Daily lab-confirmed cases,Merton,1
16/05/2020,E09000021,Number of COVID-19 Daily lab-confirmed cases,Kingston upon Thames,1
16/05/2020,E09000018,Number of COVID-19 Daily lab-confirmed cases,Hounslow,1
16/05/2020,E09000012,Number of COVID-19 Daily lab-confirmed cases,Hackney,1
16/05/2020,E09000007,Number of COVID-19 Daily lab-confirmed cases,Camden,1
16/05/2020,E09000002,Number of COVID-19 Daily lab-confirmed cases,Barking and Dagenham,1
16/05/2020,E08000026,Number of COVID-19 Daily lab-confirmed cases,Coventry,1
16/05/2020,E08000023,Number of COVID-19 Daily lab-confirmed cases,South Tyneside,1
16/05/2020,E08000021,Number of COVID-19 Daily lab-confirmed cases,Newcastle upon Tyne,1
16/05/2020,E08000006,Number of COVID-19 Daily lab-confirmed cases,Salford,1
16/05/2020,E06000058,Number of COVID-19 Daily lab-confirmed cases,"Bournemouth, Christchurch and Poole",1
16/05/2020,E06000046,Number of COVID-19 Daily lab-confirmed cases,Isle of Wight,1
16/05/2020,E06000041,Number of COVID-19 Daily lab-confirmed cases,Wokingham,1
16/05/2020,E06000026,Number of COVID-19 Daily lab-confirmed cases,Plymouth,1
16/05/2020,E06000022,Number of COVID-19 Daily lab-confirmed cases,Bath and North East Somerset,1
16/05/2020,E06000019,Number of COVID-19 Daily lab-confirmed cases,"Herefordshire, County of",1
16/05/2020,E06000015,Number of COVID-19 Daily lab-confirmed cases,Derby,1
16/05/2020,E06000014,Number of COVID-19 Daily lab-confirmed cases,York,1
16/05/2020,E06000013,Number of COVID-19 Daily lab-confirmed cases,North Lincolnshire,1
16/05/2020,E06000012,Number of COVID-19 Daily lab-confirmed cases,North East Lincolnshire,1
16/05/2020,E06000009,Number of COVID-19 Daily lab-confirmed cases,Blackpool,1
16/05/2020,E06000005,Number of COVID-19 Daily lab-confirmed cases,Darlington,1
15/05/2020,E10000008,Number of COVID-19 Daily lab-confirmed cases,Devon,1
15/05/2020,E09000030,Number of COVID-19 Daily lab-confirmed cases,Tower Hamlets,1
15/05/2020,E09000027,Number of COVID-19 Daily lab-confirmed cases,Richmond upon Thames,1
15/05/2020,E09000026,Number of COVID-19 Daily lab-confirmed cases,Redbridge,1
15/05/2020,E09000023,Number of COVID-19 Daily lab-confirmed cases,Lewisham,1
15/05/2020,E09000022,Number of COVID-19 Daily lab-confirmed cases,Lambeth,1
15/05/2020,E09000020,Number of COVID-19 Daily lab-confirmed cases,Kensington and Chelsea,1
15/05/2020,E09000007,Number of COVID-19 Daily lab-confirmed cases,Camden,1
15/05/2020,E09000003,Number of COVID-19 Daily lab-confirmed cases,Barnet,1
15/05/2020,E09000002,Number of COVID-19 Daily lab-confirmed cases,Barking and Dagenham,1
15/05/2020,E08000033,Number of COVID-19 Daily lab-confirmed cases,Calderdale,1
15/05/2020,E08000021,Number of COVID-19 Daily lab-confirmed cases,Newcastle upon Tyne,1
15/05/2020,E08000014,Number of COVID-19 Daily lab-confirmed cases,Sefton,1
15/05/2020,E06000058,Number of COVID-19 Daily lab-confirmed cases,"Bournemouth, Christchurch and Poole",1
15/05/2020,E06000052,Number of COVID-19 Daily lab-confirmed cases,Cornwall and Isles of Scilly,1
15/05/2020,E06000044,Number of COVID-19 Daily lab-confirmed cases,Portsmouth,1
15/05/2020,E06000041,Number of COVID-19 Daily lab-confirmed cases,Wokingham,1
15/05/2020,E06000040,Number of COVID-19 Daily lab-confirmed cases,Windsor and Maidenhead,1
15/05/2020,E06000036,Number of COVID-19 Daily lab-confirmed cases,Bracknell Forest,1
15/05/2020,E06000032,Number of COVID-19 Daily lab-confirmed cases,Luton,1
15/05/2020,E06000018,Number of COVID-19 Daily lab-confirmed cases,Nottingham,1
15/05/2020,E06000012,Number of COVID-19 Daily lab-confirmed cases,North East Lincolnshire,1
15/05/2020,E06000006,Number of COVID-19 Daily lab-confirmed cases,Halton,1
15/05/2020,E06000005,Number of COVID-19 Daily lab-confirmed cases,Darlington,1
15/05/2020,E06000002,Number of COVID-19 Daily lab-confirmed cases,Middlesbrough,1
14/05/2020,E09000029,Number of COVID-19 Daily lab-confirmed cases,Sutton,1
14/05/2020,E09000028,Number of COVID-19 Daily lab-confirmed cases,Southwark,1
14/05/2020,E09000027,Number of COVID-19 Daily lab-confirmed cases,Richmond upon Thames,1
14/05/2020,E09000014,Number of COVID-19 Daily lab-confirmed cases,Haringey,1
14/05/2020,E09000012,Number of COVID-19 Daily lab-confirmed cases,Hackney,1
14/05/2020,E09000011,Number of COVID-19 Daily lab-confirmed cases,Greenwich,1
14/05/2020,E09000007,Number of COVID-19 Daily lab-confirmed cases,Camden,1
14/05/2020,E09000002,Number of COVID-19 Daily lab-confirmed cases,Barking and Dagenham,1
14/05/2020,E08000006,Number of COVID-19 Daily lab-confirmed cases,Salford,1
14/05/2020,E06000059,Number of COVID-19 Daily lab-confirmed cases,Dorset,1
14/05/2020,E06000058,Number of COVID-19 Daily lab-confirmed cases,"Bournemouth, Christchurch and Poole",1
14/05/2020,E06000043,Number of COVID-19 Daily lab-confirmed cases,Brighton and Hove,1
14/05/2020,E06000040,Number of COVID-19 Daily lab-confirmed cases,Windsor and Maidenhead,1
14/05/2020,E06000034,Number of COVID-19 Daily lab-confirmed cases,Thurrock,1
14/05/2020,E06000032,Number of COVID-19 Daily lab-confirmed cases,Luton,1
14/05/2020,E06000026,Number of COVID-19 Daily lab-confirmed cases,Plymouth,1
14/05/2020,E06000022,Number of COVID-19 Daily lab-confirmed cases,Bath and North East Somerset,1
14/05/2020,E06000019,Number of COVID-19 Daily lab-confirmed cases,"Herefordshire, County of",1
14/05/2020,E06000018,Number of COVID-19 Daily lab-confirmed cases,Nottingham,1
14/05/2020,E06000012,Number of COVID-19 Daily lab-confirmed cases,North East Lincolnshire,1
14/05/2020,E06000006,Number of COVID-19 Daily lab-confirmed cases,Halton,1
14/05/2020,E06000005,Number of COVID-19 Daily lab-confirmed cases,Darlington,1
14/05/2020,E06000003,Number of COVID-19 Daily lab-confirmed cases,Redcar and Cleveland,1
13/05/2020,E10000032,Number of COVID-19 Daily lab-confirmed cases,West Sussex,1
13/05/2020,E09000029,Number of COVID-19 Daily lab-confirmed cases,Sutton,1
13/05/2020,E09000018,Number of COVID-19 Daily lab-confirmed cases,Hounslow,1
13/05/2020,E09000015,Number of COVID-19 Daily lab-confirmed cases,Harrow,1
13/05/2020,E09000012,Number of COVID-19 Daily lab-confirmed cases,Hackney,1
13/05/2020,E09000001,Number of COVID-19 Daily lab-confirmed cases,City of London,1
13/05/2020,E08000037,Number of COVID-19 Daily lab-confirmed cases,Gateshead,1
13/05/2020,E06000052,Number of COVID-19 Daily lab-confirmed cases,Cornwall and Isles of Scilly,1
13/05/2020,E06000044,Number of COVID-19 Daily lab-confirmed cases,Portsmouth,1
13/05/2020,E06000043,Number of COVID-19 Daily lab-confirmed cases,Brighton and Hove,1
13/05/2020,E06000040,Number of COVID-19 Daily lab-confirmed cases,Windsor and Maidenhead,1
13/05/2020,E06000032,Number of COVID-19 Daily lab-confirmed cases,Luton,1
13/05/2020,E06000027,Number of COVID-19 Daily lab-confirmed cases,Torbay,1
13/05/2020,E06000026,Number of COVID-19 Daily lab-confirmed cases,Plymouth,1
13/05/2020,E06000022,Number of COVID-19 Daily lab-confirmed cases,Bath and North East Somerset,1
13/05/2020,E06000005,Number of COVID-19 Daily lab-confirmed cases,Darlington,1
13/05/2020,E06000002,Number of COVID-19 Daily lab-confirmed cases,Middlesbrough,1
12/05/2020,E10000013,Number of COVID-19 Daily lab-confirmed cases,Gloucestershire,1
12/05/2020,E10000008,Number of COVID-19 Daily lab-confirmed cases,Devon,1
12/05/2020,E09000033,Number of COVID-19 Daily lab-confirmed cases,Westminster,1
12/05/2020,E09000031,Number of COVID-19 Daily lab-confirmed cases,Waltham Forest,1
12/05/2020,E09000030,Number of COVID-19 Daily lab-confirmed cases,Tower Hamlets,1
12/05/2020,E09000029,Number of COVID-19 Daily lab-confirmed cases,Sutton,1
12/05/2020,E09000028,Number of COVID-19 Daily lab-confirmed cases,Southwark,1
12/05/2020,E09000027,Number of COVID-19 Daily lab-confirmed cases,Richmond upon Thames,1
12/05/2020,E09000026,Number of COVID-19 Daily lab-confirmed cases,Redbridge,1
12/05/2020,E09000025,Number of COVID-19 Daily lab-confirmed cases,Newham,1
12/05/2020,E09000019,Number of COVID-19 Daily lab-confirmed cases,Islington,1
12/05/2020,E09000017,Number of COVID-19 Daily lab-confirmed cases,Hillingdon,1
12/05/2020,E09000016,Number of COVID-19 Daily lab-confirmed cases,Havering,1
12/05/2020,E09000013,Number of COVID-19 Daily lab-confirmed cases,Hammersmith and Fulham,1
12/05/2020,E09000012,Number of COVID-19 Daily lab-confirmed cases,Hackney,1
12/05/2020,E09000010,Number of COVID-19 Daily lab-confirmed cases,Enfield,1
12/05/2020,E09000003,Number of COVID-19 Daily lab-confirmed cases,Barnet,1
12/05/2020,E08000033,Number of COVID-19 Daily lab-confirmed cases,Calderdale,1
12/05/2020,E08000017,Number of COVID-19 Daily lab-confirmed cases,Doncaster,1
12/05/2020,E08000002,Number of COVID-19 Daily lab-confirmed cases,Bury,1
12/05/2020,E06000043,Number of COVID-19 Daily lab-confirmed cases,Brighton and Hove,1
12/05/2020,E06000040,Number of COVID-19 Daily lab-confirmed cases,Windsor and Maidenhead,1
12/05/2020,E06000037,Number of COVID-19 Daily lab-confirmed cases,West Berkshire,1
12/05/2020,E06000032,Number of COVID-19 Daily lab-confirmed cases,Luton,1
12/05/2020,E06000027,Number of COVID-19 Daily lab-confirmed cases,Torbay,1
12/05/2020,E06000023,Number of COVID-19 Daily lab-confirmed cases,"Bristol, City of",1
12/05/2020,E06000017,Number of COVID-19 Daily lab-confirmed cases,Rutland,1
12/05/2020,E06000002,Number of COVID-19 Daily lab-confirmed cases,Middlesbrough,1
11/05/2020,E09000032,Number of COVID-19 Daily lab-confirmed cases,Wandsworth,1
11/05/2020,E09000029,Number of COVID-19 Daily lab-confirmed cases,Sutton,1
11/05/2020,E09000025,Number of COVID-19 Daily lab-confirmed cases,Newham,1
11/05/2020,E09000018,Number of COVID-19 Daily lab-confirmed cases,Hounslow,1
11/05/2020,E09000014,Number of COVID-19 Daily lab-confirmed cases,Haringey,1
11/05/2020,E09000012,Number of COVID-19 Daily lab-confirmed cases,Hackney,1
11/05/2020,E09000011,Number of COVID-19 Daily lab-confirmed cases,Greenwich,1
11/05/2020,E09000010,Number of COVID-19 Daily lab-confirmed cases,Enfield,1
11/05/2020,E09000002,Number of COVID-19 Daily lab-confirmed cases,Barking and Dagenham,1
11/05/2020,E08000026,Number of COVID-19 Daily lab-confirmed cases,Coventry,1
11/05/2020,E08000006,Number of COVID-19 Daily lab-confirmed cases,Salford,1
11/05/2020,E06000046,Number of COVID-19 Daily lab-confirmed cases,Isle of Wight,1
11/05/2020,E06000040,Number of COVID-19 Daily lab-confirmed cases,Windsor and Maidenhead,1
11/05/2020,E06000038,Number of COVID-19 Daily lab-confirmed cases,Reading,1
11/05/2020,E06000036,Number of COVID-19 Daily lab-confirmed cases,Bracknell Forest,1
11/05/2020,E06000027,Number of COVID-19 Daily lab-confirmed cases,Torbay,1
11/05/2020,E06000022,Number of COVID-19 Daily lab-confirmed cases,Bath and North East Somerset,1
11/05/2020,E06000017,Number of COVID-19 Daily lab-confirmed cases,Rutland,1
11/05/2020,E06000012,Number of COVID-19 Daily lab-confirmed cases,North East Lincolnshire,1
10/05/2020,E10000011,Number of COVID-19 Daily lab-confirmed cases,East Sussex,1
10/05/2020,E09000033,Number of COVID-19 Daily lab-confirmed cases,Westminster,1
10/05/2020,E09000031,Number of COVID-19 Daily lab-confirmed cases,Waltham Forest,1
10/05/2020,E09000030,Number of COVID-19 Daily lab-confirmed cases,Tower Hamlets,1
10/05/2020,E09000022,Number of COVID-19 Daily lab-confirmed cases,Lambeth,1
10/05/2020,E09000021,Number of COVID-19 Daily lab-confirmed cases,Kingston upon Thames,1
10/05/2020,E09000016,Number of COVID-19 Daily lab-confirmed cases,Havering,1
10/05/2020,E09000015,Number of COVID-19 Daily lab-confirmed cases,Harrow,1
10/05/2020,E09000008,Number of COVID-19 Daily lab-confirmed cases,Croydon,1
10/05/2020,E09000007,Number of COVID-19 Daily lab-confirmed cases,Camden,1
10/05/2020,E09000003,Number of COVID-19 Daily lab-confirmed cases,Barnet,1
10/05/2020,E09000002,Number of COVID-19 Daily lab-confirmed cases,Barking and Dagenham,1
10/05/2020,E08000037,Number of COVID-19 Daily lab-confirmed cases,Gateshead,1
10/05/2020,E08000033,Number of COVID-19 Daily lab-confirmed cases,Calderdale,1
10/05/2020,E08000011,Number of COVID-19 Daily lab-confirmed cases,Knowsley,1
10/05/2020,E08000009,Number of COVID-19 Daily lab-confirmed cases,Trafford,1
10/05/2020,E08000002,Number of COVID-19 Daily lab-confirmed cases,Bury,1
10/05/2020,E06000046,Number of COVID-19 Daily lab-confirmed cases,Isle of Wight,1
10/05/2020,E06000042,Number of COVID-19 Daily lab-confirmed cases,Milton Keynes,1
10/05/2020,E06000037,Number of COVID-19 Daily lab-confirmed cases,West Berkshire,1
10/05/2020,E06000034,Number of COVID-19 Daily lab-confirmed cases,Thurrock,1
10/05/2020,E06000033,Number of COVID-19 Daily lab-confirmed cases,Southend-on-Sea,1
10/05/2020,E06000023,Number of COVID-19 Daily lab-confirmed cases,"Bristol, City of",1
10/05/2020,E06000022,Number of COVID-19 Daily lab-confirmed cases,Bath and North East Somerset,1
10/05/2020,E06000020,Number of COVID-19 Daily lab-confirmed cases,Telford and Wrekin,1
10/05/2020,E06000017,Number of COVID-19 Daily lab-confirmed cases,Rutland,1
10/05/2020,E06000008,Number of COVID-19 Daily lab-confirmed cases,Blackburn with Darwen,1
10/05/2020,E06000002,Number of COVID-19 Daily lab-confirmed cases,Middlesbrough,1
09/05/2020,E10000013,Number of COVID-19 Daily lab-confirmed cases,Gloucestershire,1
09/05/2020,E10000011,Number of COVID-19 Daily lab-confirmed cases,East Sussex,1
09/05/2020,E10000006,Number of COVID-19 Daily lab-confirmed cases,Cumbria,1
09/05/2020,E09000033,Number of COVID-19 Daily lab-confirmed cases,Westminster,1
09/05/2020,E09000027,Number of COVID-19 Daily lab-confirmed cases,Richmond upon Thames,1
09/05/2020,E09000026,Number of COVID-19 Daily lab-confirmed cases,Redbridge,1
09/05/2020,E09000025,Number of COVID-19 Daily lab-confirmed cases,Newham,1
09/05/2020,E09000023,Number of COVID-19 Daily lab-confirmed cases,Lewisham,1
09/05/2020,E09000021,Number of COVID-19 Daily lab-confirmed cases,Kingston upon Thames,1
09/05/2020,E09000020,Number of COVID-19 Daily lab-confirmed cases,Kensington and Chelsea,1
09/05/2020,E09000013,Number of COVID-19 Daily lab-confirmed cases,Hammersmith and Fulham,1
09/05/2020,E09000011,Number of COVID-19 Daily lab-confirmed cases,Greenwich,1
09/05/2020,E09000009,Number of COVID-19 Daily lab-confirmed cases,Ealing,1
09/05/2020,E09000008,Number of COVID-19 Daily lab-confirmed cases,Croydon,1
09/05/2020,E09000004,Number of COVID-19 Daily lab-confirmed cases,Bexley,1
09/05/2020,E09000003,Number of COVID-19 Daily lab-confirmed cases,Barnet,1
09/05/2020,E09000002,Number of COVID-19 Daily lab-confirmed cases,Barking and Dagenham,1
09/05/2020,E06000056,Number of COVID-19 Daily lab-confirmed cases,Central Bedfordshire,1
09/05/2020,E06000046,Number of COVID-19 Daily lab-confirmed cases,Isle of Wight,1
09/05/2020,E06000041,Number of COVID-19 Daily lab-confirmed cases,Wokingham,1
09/05/2020,E06000037,Number of COVID-19 Daily lab-confirmed cases,West Berkshire,1
09/05/2020,E06000032,Number of COVID-19 Daily lab-confirmed cases,Luton,1
09/05/2020,E06000023,Number of COVID-19 Daily lab-confirmed cases,"Bristol, City of",1
09/05/2020,E06000018,Number of COVID-19 Daily lab-confirmed cases,Nottingham,1
09/05/2020,E06000017,Number of COVID-19 Daily lab-confirmed cases,Rutland,1
09/05/2020,E06000012,Number of COVID-19 Daily lab-confirmed cases,North East Lincolnshire,1
09/05/2020,E06000006,Number of COVID-19 Daily lab-confirmed cases,Halton,1
08/05/2020,E10000011,Number of COVID-19 Daily lab-confirmed cases,East Sussex,1
08/05/2020,E09000032,Number of COVID-19 Daily lab-confirmed cases,Wandsworth,1
08/05/2020,E09000030,Number of COVID-19 Daily lab-confirmed cases,Tower Hamlets,1
08/05/2020,E09000025,Number of COVID-19 Daily lab-confirmed cases,Newham,1
08/05/2020,E09000024,Number of COVID-19 Daily lab-confirmed cases,Merton,1
08/05/2020,E09000022,Number of COVID-19 Daily lab-confirmed cases,Lambeth,1
08/05/2020,E09000021,Number of COVID-19 Daily lab-confirmed cases,Kingston upon Thames,1
08/05/2020,E09000020,Number of COVID-19 Daily lab-confirmed cases,Kensington and Chelsea,1
08/05/2020,E09000010,Number of COVID-19 Daily lab-confirmed cases,Enfield,1
08/05/2020,E09000002,Number of COVID-19 Daily lab-confirmed cases,Barking and Dagenham,1
08/05/2020,E08000034,Number of COVID-19 Daily lab-confirmed cases,Kirklees,1
08/05/2020,E06000046,Number of COVID-19 Daily lab-confirmed cases,Isle of Wight,1
08/05/2020,E06000042,Number of COVID-19 Daily lab-confirmed cases,Milton Keynes,1
08/05/2020,E06000040,Number of COVID-19 Daily lab-confirmed cases,Windsor and Maidenhead,1
08/05/2020,E06000037,Number of COVID-19 Daily lab-confirmed cases,West Berkshire,1
08/05/2020,E06000035,Number of COVID-19 Daily lab-confirmed cases,Medway,1
08/05/2020,E06000027,Number of COVID-19 Daily lab-confirmed cases,Torbay,1
08/05/2020,E06000022,Number of COVID-19 Daily lab-confirmed cases,Bath and North East Somerset,1
08/05/2020,E06000012,Number of COVID-19 Daily lab-confirmed cases,North East Lincolnshire,1
08/05/2020,E06000007,Number of COVID-19 Daily lab-confirmed cases,Warrington,1
07/05/2020,E09000033,Number of COVID-19 Daily lab-confirmed cases,Westminster,1
07/05/2020,E09000030,Number of COVID-19 Daily lab-confirmed cases,Tower Hamlets,1
07/05/2020,E09000028,Number of COVID-19 Daily lab-confirmed cases,Southwark,1
07/05/2020,E09000021,Number of COVID-19 Daily lab-confirmed cases,Kingston upon Thames,1
07/05/2020,E09000019,Number of COVID-19 Daily lab-confirmed cases,Islington,1
07/05/2020,E09000010,Number of COVID-19 Daily lab-confirmed cases,Enfield,1
07/05/2020,E08000011,Number of COVID-19 Daily lab-confirmed cases,Knowsley,1
07/05/2020,E06000059,Number of COVID-19 Daily lab-confirmed cases,Dorset,1
07/05/2020,E06000044,Number of COVID-19 Daily lab-confirmed cases,Portsmouth,1
07/05/2020,E06000037,Number of COVID-19 Daily lab-confirmed cases,West Berkshire,1
07/05/2020,E06000032,Number of COVID-19 Daily lab-confirmed cases,Luton,1
07/05/2020,E06000020,Number of COVID-19 Daily lab-confirmed cases,Telford and Wrekin,1
07/05/2020,E06000017,Number of COVID-19 Daily lab-confirmed cases,Rutland,1
07/05/2020,E06000012,Number of COVID-19 Daily lab-confirmed cases,North East Lincolnshire,1
06/05/2020,E10000027,Number of COVID-19 Daily lab-confirmed cases,Somerset,1
06/05/2020,E09000033,Number of COVID-19 Daily lab-confirmed cases,Westminster,1
06/05/2020,E09000030,Number of COVID-19 Daily lab-confirmed cases,Tower Hamlets,1
06/05/2020,E09000020,Number of COVID-19 Daily lab-confirmed cases,Kensington and Chelsea,1
06/05/2020,E09000013,Number of COVID-19 Daily lab-confirmed cases,Hammersmith and Fulham,1
06/05/2020,E06000041,Number of COVID-19 Daily lab-confirmed cases,Wokingham,1
06/05/2020,E06000037,Number of COVID-19 Daily lab-confirmed cases,West Berkshire,1
06/05/2020,E06000036,Number of COVID-19 Daily lab-confirmed cases,Bracknell Forest,1
06/05/2020,E06000032,Number of COVID-19 Daily lab-confirmed cases,Luton,1
06/05/2020,E06000027,Number of COVID-19 Daily lab-confirmed cases,Torbay,1
